location_id,city,latitude,longitude,location_type,demand_units,priority,zone,time_window_open,time_window_close,city_tier
LOC_014665,Patna,25.824282,85.344616,customer,84,medium,ZONE_01,06:00,13:00,2
LOC_001982,Delhi,28.62108,76.88483,retail_store,110,medium,ZONE_03,10:00,17:00,1
LOC_018350,Faridabad,28.558695,77.398738,retail_store,23,medium,ZONE_02,06:00,15:00,2
LOC_020490,Srinagar,34.062065,74.805636,collection_point,39,medium,ZONE_05,09:00,15:00,3
LOC_018122,Faridabad,28.314319,77.282607,retail_store,80,medium,ZONE_01,06:00,11:00,2
LOC_030086,Udaipur,24.601708,73.646517,retail_store,121,high,ZONE_03,11:00,17:00,3
LOC_007376,Ahmedabad,23.152486,72.694828,customer,30,medium,ZONE_02,08:00,16:00,1
LOC_018787,Meerut,28.876,77.889667,customer,33,medium,ZONE_05,07:00,15:00,2
LOC_026475,Bareilly,28.207499,79.492321,retail_store,3,medium,ZONE_03,07:00,14:00,3
LOC_007342,Ahmedabad,22.52727,72.20921,customer,108,low,ZONE_04,06:00,14:00,1
LOC_024747,Kochi,9.845697,76.271181,customer,96,medium,ZONE_05,08:00,13:00,3
LOC_029638,Mangalore,12.858292,74.716811,retail_store,33,high,ZONE_01,10:00,19:00,3
LOC_030522,Kota,25.135028,75.897834,collection_point,38,medium,ZONE_02,08:00,13:00,3
LOC_011918,Nagpur,21.844911,79.08912,collection_point,134,high,ZONE_05,09:00,13:00,1
LOC_004904,Chennai,13.224431,80.230592,customer,22,high,ZONE_03,06:00,13:00,1
LOC_006673,Pune,18.689944,73.912357,customer,1,medium,ZONE_04,07:00,13:00,1
LOC_003790,Hyderabad,17.212856,78.165201,customer,5,medium,ZONE_03,07:00,14:00,1
LOC_021256,Dhanbad,23.873251,86.510427,customer,89,low,ZONE_03,06:00,12:00,3
LOC_023747,Jodhpur,26.324688,73.073449,customer,83,medium,ZONE_03,07:00,16:00,3
LOC_013182,Indore,22.777854,75.958676,retail_store,72,medium,ZONE_04,07:00,14:00,2
LOC_012638,Indore,22.456091,75.884544,retail_store,66,low,ZONE_03,10:00,17:00,2
LOC_020257,Varanasi,25.016888,82.999049,customer,141,medium,ZONE_04,11:00,19:00,2
LOC_019819,Varanasi,25.45143,83.15907,customer,146,low,ZONE_02,06:00,11:00,2
LOC_003711,Hyderabad,17.044022,78.098952,customer,53,high,ZONE_02,11:00,19:00,1
LOC_002603,Bengaluru,13.13251,77.523311,collection_point,117,medium,ZONE_02,11:00,16:00,1
LOC_027031,Aligarh,27.901842,78.14609,retail_store,113,low,ZONE_04,08:00,17:00,3
LOC_002843,Bengaluru,12.989996,77.028683,warehouse,0,medium,ZONE_03,09:00,18:00,1
LOC_012579,Visakhapatnam,17.385176,83.104434,collection_point,13,low,ZONE_03,10:00,18:00,2
LOC_015222,Vadodara,22.119102,73.065802,customer,45,high,ZONE_03,07:00,13:00,2
LOC_009277,Surat,21.061441,72.837105,retail_store,6,high,ZONE_03,06:00,14:00,1
LOC_005880,Kolkata,22.61194,87.852651,retail_store,108,medium,ZONE_04,10:00,18:00,1
LOC_002158,Bengaluru,12.524709,77.289836,distribution_center,33,medium,ZONE_01,11:00,19:00,1
LOC_003706,Hyderabad,17.247611,78.714117,collection_point,118,low,ZONE_02,09:00,14:00,1
